Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Sweden,28686,21519,25650999,22086698,,Sweden,2022,10486.94,"0,750156870947501","2,73540231945639",216,Sweden
Switzerland,35158,24327,29097295,24241331,,Switzerland,2022,8769.74,"0,691933557085158","4,00901280995788",40,Switzerland
Syria,965,746,107501,179998,,Syrian Arab Republic,2022,22125.25,"0,773056994818653","0,043615326380493",220,Syria
Tajikistan,250,126,293097,429731,,Tajikistan,2022,9952.79,"0,504","0,025118584839025",225,Tajikistan
Tanzania,2827,1938,575929,772448,,Tanzania,2022,65497.75,"0,685532366466219","0,043161788000351",234,Tanzania
Thailand,1478,9365,3173945,5224986,,Thailand,2022,71697.03,"6,3362652232747","0,020614521968344",224,Thailand
Timor-Leste,78,70,5526,9965,,Timor-Leste,2022,1341.3,"0,897435897435897","0,058152538581973",227,Timor-Leste
Togo,364,237,27685,57994,,Togo,2022,8848.7,"0,651098901098901","0,041135986077051",223,Togo
Tonga,15,9,3903,5969,,Tonga,2022,106.86,"0,6","0,140370578326783",228,Tonga
Trinidad and Tobago,297,181,61855,11783,,Trinidad and Tobago,2022,1531.04,"0,609427609427609","0,193985787438604",229,Trinidad
Tunisia,5442,2732,1187763,2179570,,Tunisia,2022,12356.12,"0,50202131569276","0,440429519946391",231,Tunisia
Turkey,55877,21235,8793453,15718262,,Turkiye,2022,85341.24,"0,380031139824973","0,654747927262364",232,Turkey
Turkmenistan,23,15,2892,3213,,Turkmenistan,2022,6430.77,"0,652173913043478","0,003576554596106",226,Turkmenistan
Turks and Caicos Islands,33,29,1123,2702,,Turks and Caicos Islands,2022,45.7,"0,878787878787879","0,722100656455142",221,Turks and Caicos Islands
Tuvalu,2,2,714,661,,Tuvalu,2022,11.31,1,"0,17683465959328",,
Uganda,2805,2112,595834,813319,,Uganda,2022,47249.58,"0,752941176470588","0,059365607059364",235,Uganda
Ukraine,17916,11331,1283775,2642280,,Ukraine,2022,38000,"0,632451440053583","0,471473684210526",236,Ukraine
United Arab Emirates,839,4929,970268,2284779,,United Arab Emirates,2022,9441.13,"5,87485101311085","0,088866481025047",8,United Arab Emirates
United Kingdom,145193,91727,125870786,105957815,,United Kingdom,2022,66971.41,"0,631759106843994","2,16798481620739",81,UK
United States,474084,207315,504240777,385592159,,United States,2022,333287.56,"0,437295922241628","1,42244733046742",238,USA
Uruguay,1682,970,448892,694794,,Uruguay,2022,3422.79,"0,576694411414982","0,491411976779177",237,Uruguay
Uzbekistan,3126,2172,144412,273191,,Uzbekistan,2022,35648.1,"0,694817658349328","0,087690508049517",239,Uzbekistan
Vanuatu,25,18,8906,13966,,Vanuatu,2022,326.74,"0,72","0,076513435759319",246,Vanuatu
Venezuela,1075,768,566282,549359,,Venezuela RB,2022,28301.7,"0,714418604651163","0,037983584024988",243,Venezuela
Vietnam,10882,5348,1239709,2716508,,Viet Nam,2022,98186.86,"0,49145377687925","0,110829493885434",245,Vietnam
Yemen,1031,719,103394,229875,,"Yemen Rep,",2022,33696.61,"0,697381183317168","0,030596549623241",249,Yemen
Zambia,1007,719,188315,260589,,Zambia,2022,20017.67,"0,714001986097319","0,05030555504212",251,Zambia
Zimbabwe,973,651,243621,327225,,Zimbabwe,2022,16320.54,"0,669064748201439","0,059618125380655",252,Zimbabwe
,,,,,,,,,,,233,Taiwan
,,,,,,,,,,,,
,,,,,,,,,,,,
 , ,,,,,,,,,,,
